,date,content
12,2020-03-06 23:20:13+00:00,wait im kinda excited for coronavirus to cancel everything so i have an excuse to sit in my apartment and play the new animal crossing for the foreseeable future
13,2020-03-06 23:07:58+00:00,can’t wait to get coronavirus *lowers sunglasses* at Coachella 😏
14,2020-03-06 22:58:19+00:00,someone w coronavirus cough on elon musk real quick
15,2020-03-06 22:55:07+00:00,"Hey boy, are you Coronavirus? Because I’m not scared of you and I’ll probably regret it one day."
16,2020-03-06 22:52:55+00:00,"Brb booking last minute spring break trip bc coronavirus is cutting travel costs in half

If I get sick and die that’s just an added perk lmao"
17,2020-03-06 22:50:34+00:00,A curb your enthusiasm episode where Larry lies about getting coronavirus to get out of going to an event he’s dreading but then causes accidental pandemonium and chaos
18,2020-03-07 23:31:26+00:00,@benyankee I continue to be fascinated by the political idiocy of the Trump admin regarding Coronavirus. Don’t they know the most susceptible recipients of the disease are largely their voters! Don’t they get that this is the worst possible time to talk about cutting the social safety net?
19,2020-03-07 23:10:58+00:00,"@JoeBiden and @Bernie;
Please ask which members of the Admin and the Congress have been tested for coronavirus.  Immediately."
20,2020-03-07 22:33:15+00:00,Netflix just add Outbreak - just in time Coronavirus season
21,2020-03-07 22:31:45+00:00,"@sarahmucha @PalmerReport @JoeBiden There is a #coronavirus outbreak happening people!

I love Joe! But I think ALL the rally’s have to stop- for the sake of the safety of this #coronavirus crisis!"
22,2020-03-07 22:27:04+00:00,"@DHSCgovuk We need to stay vigilant we need to stay safe and we need to educate ourselves.

@realDonaldTrump @VP and their administration is telling us nothing and not supplying enough tests for #COVIDー19 #Coronavirus 

America deserves better than this failure of an unfit president"
23,2020-03-07 22:22:12+00:00,"Especially with what's going on with coronavirus, you'd think we'd have realized that the health of a society is not determined by the healthiest members but by the most vulnerable ones. It doesn't matter if you're healthy if the people around you are sick and can't get treated."
24,2020-03-07 22:19:38+00:00,"We need to stay vigilant we need to stay safe and we need to educate ourselves.

@realDonaldTrump @VP and their administration is telling us nothing and not supplying enough tests for #COVIDー19 #Coronavirus 

America deserves better than this failure of an unfit president"
25,2020-03-07 22:17:55+00:00,"@AndrewYang Thanks to the Coronavirus scare, millions of Americans are discovering the benefits of hand soap for the first time in their lives."
26,2020-03-08 23:24:01+00:00,"@paulkrugman There should be a test location in every major city

Instead, @realDonaldTrump is golfing this weekend 

#coronavirus #COVID19"
